COD_CID;DESIG_CID;AREAFIN_M2;LATITUDE;LONGITUDE
0001;Viana do Castelo;18826107.298647176474333;41.694504909000045;-8.839994969999964
0002;Barcelos;6369369.695359678938985;41.533924353000032;-8.618079023999940
0003;Braga;41041525.542709089815617;41.551277183000025;-8.421553388999939
0004;Esposende;13069745.670919513329864;41.547967302000075;-8.777671055999974
0005;Fafe;7969860.918551054783165;41.449616713000069;-8.175238912999930
0006;Vizela;7683764.288508029654622;41.376437077000048;-8.307512304999932
0007;Guimarães;16808647.330978315323591;41.440797153000062;-8.304312771999946
0008;Trofa;8898077.094501908868551;41.335196090000068;-8.557629338999959
0009;Santo Tirso;35522232.994809165596962;41.343543110000041;-8.474983540999972
0010;Vila Nova Famalicão;25539988.534532990306616;41.400357015000054;-8.522775664999926
0011;Espinho;6153339.842848448082805;41.001252233000059;-8.635196862999976
0012;Gondomar;11766937.926760923117399;41.136971471000038;-8.535379382999963
0013;Rio Tinto;14840832.814741181209683;41.184044013000062;-8.551198184999976
0014;Maia;10416838.951696237549186;41.233805294000035;-8.617709091999927
0015;Matosinhos;12155820.433719199150801;41.193749145000027;-8.692583252999952
0016;Porto;41420167.155977450311184;41.161698039000044;-8.620935218999932
0017;Póvoa de Varzim;12981213.248461026698351;41.387450446000059;-8.754816005999942
0018;Valongo;6994654.649183995090425;41.196618680000029;-8.501291922999940
0019;Ermesinde;6643544.935197528451681;41.214864245000058;-8.547875976999933
0020;Vila do Conde;6778781.027081682346761;41.359468450000065;-8.745714299999975
0021;Vila Nova de Gaia;56323826.844423666596413;41.110708447000036;-8.619270390999930
0022;Amarante;10060370.075454331934452;41.275057483000069;-8.083345341999973
0023;Lixa;2570108.817293908912688;41.327745075000053;-8.149478933999944
0024;Felgueiras;10131271.013213912025094;41.364671556000076;-8.207959077999931
0025;Marco de Canaveses;7487639.201024149544537;41.184157513000059;-8.137272515999939
0026;Paços de Ferreira;10799635.794752705842257;41.276009836000071;-8.375329408999960
0027;Paredes;21514614.019674628973007;41.213589914000067;-8.340525756999966
0028;Penafiel;7072740.683791461400688;41.205320011000026;-8.286411094999949
0029;Santa Maria da Feira;23362107.974939461797476;40.925567710000053;-8.555852526999956
0030;Oliveira de Azeméis;9925976.266752883791924;40.843383860000074;-8.477475786999946
0031;São João da Madeira;7942985.889193446375430;40.895631509000054;-8.490365400999963
0032;Vale de Cambra;3089214.326666350010782;40.846762534000050;-8.391467335999948
