ANO,NORDEM,NUTS2,DTCC_COD,CC_DSG,C10001,C20001,C21001,C21011,C21021,C21031,C21041,C21061,C21071,C21081,C21091,C21101,C21111,C21121,C21131,C21141,C21151,C21161,C21171,C21181,C21191,C21201,C21211,C21221,C21231,C21241,C21251,C21261,C21271,C21281,C21291,C21301,C21311,C21321,C21331,C21341,C21351,C21361,C21371,C21381,C21391,C21401,C21411,C21421,C21431,C21441,C22001,C23001,C24001,C30001,C31001,C31011,C31021,C31031,C31041,C31051,C31061,C31071,C32001
2012,229,17,1504,Barreiro,1458,247,159,2,11,0,5,0,19,0,0,2,1,0,2,0,0,0,13,0,0,1,0,0,4,0,26,0,0,0,4,0,6,3,7,6,10,13,7,5,1,5,4,0,2,0,4,57,27,493,39,8,19,2,2,3,5,0,454
2012,206,17,1507,Montijo,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,46
2012,65,16,0502,Castelo Branco,894,111,89,0,8,0,5,0,10,0,0,0,1,0,0,3,5,0,3,0,1,0,0,0,2,1,15,0,6,0,1,0,2,0,5,3,2,6,1,3,0,2,0,1,3,0,0,18,4,337,0,0,0,0,0,0,0,0,337
2012,106,17,1114,Vila Franca de Xira,801,166,108,0,12,0,7,0,12,0,0,0,2,0,0,0,2,0,9,0,0,1,0,0,2,0,16,0,0,0,2,0,6,1,12,4,1,10,3,0,0,3,0,0,3,0,7,22,29,264,36,4,16,5,2,2,7,0,228
2012,209,11,1315,Valongo,221,13,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,88,8,0,0,1,0,1,6,0,80
2012,115,16,1009,Leiria,1461,246,171,2,20,0,6,0,20,0,0,0,4,0,0,2,5,0,19,0,1,1,0,0,3,0,26,0,0,0,3,0,9,0,15,4,1,16,1,8,2,0,0,0,3,0,0,49,26,566,48,11,21,3,8,1,3,1,518
2012,189,16,1015,Pombal,136,10,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,58,5,2,0,1,0,1,1,0,53
2012,199,16,1823,Viseu,2032,483,299,2,30,2,12,0,25,1,1,1,4,1,0,0,6,0,21,3,0,1,0,1,5,22,35,0,7,3,5,3,8,2,16,6,8,24,9,13,2,13,0,2,5,0,5,143,36,680,103,21,26,17,18,4,14,3,577
2012,57,11,0402,Bragança,586,86,51,0,5,0,0,0,7,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,13,0,1,0,1,0,1,0,3,2,2,4,1,3,1,0,0,0,1,0,1,21,13,237,53,7,12,14,7,4,7,2,184
2012,148,11,0405,Macedo de Cavaleiros,262,17,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,90,17,0,0,7,0,0,10,0,73
