ANO,NORDEM,NUTS2,C10001,C20001,C21001,C21011,C21021,C21031,C21041,C21061,C21071,C21081,C21091,C21101,C21111,C21121,C21131,C21141,C21151,C21161,C21171,C21181,C21191,C21201,C21211,C21221,C21231,C21241,C21251,C21261,C21271,C21281,C21291,C21301,C21311,C21321,C21331,C21341,C21351,C21361,C21371,C21381,C21391,C21401,C21411,C21421,C21431,C21441,C22001,C23001,C24001,C30001,C31001,C31011,C31021,C31031,C31041,C31051,C31061,C31071,C32001,t_cirurgia
2012.0,229.0,17,1458.0,247.0,159.0,2.0,11.0,0.0,5.0,0.0,19.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,26.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,7.0,6.0,10.0,13.0,7.0,5.0,1.0,5.0,4.0,0.0,2.0,0.0,4.0,57.0,27.0,493.0,39.0,8.0,19.0,2.0,2.0,3.0,5.0,0.0,454.0,yes
2012.0,206.0,17,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,no
2012.0,65.0,16,894.0,111.0,38.25,0.0,8.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,5.0,3.0,2.0,6.0,1.0,3.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,18.0,4.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,yes
2012.0,106.0,17,801.0,166.0,108.0,0.0,12.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,12.0,4.0,1.0,10.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,7.0,22.0,29.0,264.0,36.0,4.0,16.0,5.0,2.0,2.0,7.0,0.0,228.0,yes
2012.0,209.0,11,221.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,8.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,80.0,yes
2012.0,115.0,16,1461.0,246.0,171.0,2.0,20.0,0.0,6.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,5.0,0.0,19.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,26.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,15.0,4.0,1.0,16.0,1.0,8.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,49.0,26.0,566.0,48.0,11.0,21.0,3.0,8.0,1.0,3.0,1.0,518.0,yes
2012.0,189.0,16,136.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,58.0,5.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,53.0,yes
2012.0,199.0,16,2032.0,483.0,299.0,2.0,30.0,2.0,12.0,0.0,25.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,6.0,0.0,21.0,3.0,0.0,1.0,0.0,1.0,5.0,22.0,35.0,0.0,7.0,3.0,5.0,3.0,8.0,2.0,16.0,6.0,8.0,24.0,9.0,13.0,2.0,13.0,0.0,2.0,5.0,0.0,5.0,143.0,36.0,680.0,103.0,21.0,26.0,17.0,18.0,4.0,14.0,3.0,577.0,yes
2012.0,57.0,11,586.0,86.0,51.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,13.0,237.0,53.0,7.0,12.0,14.0,7.0,4.0,7.0,2.0,184.0,yes
2012.0,148.0,11,262.0,17.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,90.0,17.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,73.0,no
