Período;Ano;Mês;Dia do Mês;Dia da Semana;Nº Certificados de Óbito Diários
2014-01-06;2014;1;6;segunda-feira;390
2014-01-07;2014;1;7;terça-feira;410
2014-01-08;2014;1;8;quarta-feira;365
2014-01-11;2014;1;11;sábado;317
2014-01-13;2014;1;13;segunda-feira;400
2014-01-16;2014;1;16;quinta-feira;293
2014-01-21;2014;1;21;terça-feira;354
2014-01-31;2014;1;31;sexta-feira;379
2014-02-04;2014;2;4;terça-feira;332
2014-02-08;2014;2;8;sábado;310
2014-02-15;2014;2;15;sábado;338
2014-03-07;2014;3;7;sexta-feira;330
2014-03-09;2014;3;9;domingo;246
2014-03-10;2014;3;10;segunda-feira;362
2014-03-13;2014;3;13;quinta-feira;327
2014-03-14;2014;3;14;sexta-feira;329
2014-03-16;2014;3;16;domingo;251
2014-03-25;2014;3;25;terça-feira;335
2014-03-27;2014;3;27;quinta-feira;285
2014-04-02;2014;4;2;quarta-feira;321
2014-04-05;2014;4;5;sábado;265
2014-04-10;2014;4;10;quinta-feira;304
2014-04-16;2014;4;16;quarta-feira;307
2014-04-17;2014;4;17;quinta-feira;347
2014-04-25;2014;4;25;sexta-feira;203
2014-04-27;2014;4;27;domingo;254
2014-05-04;2014;5;4;domingo;242
2014-05-09;2014;5;9;sexta-feira;257
2014-05-13;2014;5;13;terça-feira;271
2014-05-16;2014;5;16;sexta-feira;305
2014-05-17;2014;5;17;sábado;244
2014-05-19;2014;5;19;segunda-feira;292
2014-05-26;2014;5;26;segunda-feira;292
2014-05-28;2014;5;28;quarta-feira;282
2014-05-29;2014;5;29;quinta-feira;272
2014-06-06;2014;6;6;sexta-feira;270
2014-06-07;2014;6;7;sábado;238
2014-06-08;2014;6;8;domingo;226
2014-06-09;2014;6;9;segunda-feira;289
2014-06-10;2014;6;10;terça-feira;222
2014-06-12;2014;6;12;quinta-feira;254
2014-06-16;2014;6;16;segunda-feira;350
2014-06-19;2014;6;19;quinta-feira;262
2014-06-21;2014;6;21;sábado;227
2014-06-23;2014;6;23;segunda-feira;281
2014-06-30;2014;6;30;segunda-feira;291
2014-07-01;2014;7;1;terça-feira;261
2014-07-02;2014;7;2;quarta-feira;252
2014-07-13;2014;7;13;domingo;213
2014-07-15;2014;7;15;terça-feira;297
2014-07-21;2014;7;21;segunda-feira;274
2014-07-26;2014;7;26;sábado;242
2014-07-28;2014;7;28;segunda-feira;308
2014-07-30;2014;7;30;quarta-feira;256
2014-08-12;2014;8;12;terça-feira;266
2014-08-15;2014;8;15;sexta-feira;213
2014-08-19;2014;8;19;terça-feira;281
2014-09-03;2014;9;3;quarta-feira;295
2014-09-06;2014;9;6;sábado;245
2014-09-07;2014;9;7;domingo;249
2014-09-08;2014;9;8;segunda-feira;300
2014-09-12;2014;9;12;sexta-feira;279
2014-09-14;2014;9;14;domingo;191
2014-09-16;2014;9;16;terça-feira;267
2014-09-21;2014;9;21;domingo;169
2014-09-23;2014;9;23;terça-feira;276
2014-09-25;2014;9;25;quinta-feira;250
2014-09-28;2014;9;28;domingo;208
2014-09-29;2014;9;29;segunda-feira;307
2014-10-04;2014;10;4;sábado;244
2014-10-12;2014;10;12;domingo;189
2014-10-14;2014;10;14;terça-feira;296
2014-10-18;2014;10;18;sábado;252
2014-10-20;2014;10;20;segunda-feira;318
2014-10-27;2014;10;27;segunda-feira;330
2014-10-30;2014;10;30;quinta-feira;274
2014-10-31;2014;10;31;sexta-feira;270
2014-11-02;2014;11;2;domingo;212
2014-11-07;2014;11;7;sexta-feira;289
2014-11-09;2014;11;9;domingo;240
2014-11-10;2014;11;10;segunda-feira;319
2014-11-13;2014;11;13;quinta-feira;303
2014-11-22;2014;11;22;sábado;284
2014-11-28;2014;11;28;sexta-feira;339
2014-12-04;2014;12;4;quinta-feira;301
2014-12-08;2014;12;8;segunda-feira;282
2014-12-17;2014;12;17;quarta-feira;347
2014-12-18;2014;12;18;quinta-feira;308
2014-12-23;2014;12;23;terça-feira;390
2014-12-24;2014;12;24;quarta-feira;353
2015-01-01;2015;1;1;quinta-feira;339
2015-01-19;2015;1;19;segunda-feira;480
2015-01-20;2015;1;20;terça-feira;506
2015-01-21;2015;1;21;quarta-feira;459
2015-01-26;2015;1;26;segunda-feira;463
2015-01-30;2015;1;30;sexta-feira;444
2015-02-04;2015;2;4;quarta-feira;415
2015-02-07;2015;2;7;sábado;368
2015-02-11;2015;2;11;quarta-feira;444
2015-02-17;2015;2;17;terça-feira;399
2015-02-24;2015;2;24;terça-feira;408
2015-02-27;2015;2;27;sexta-feira;417
2015-03-08;2015;3;8;domingo;256
2015-03-09;2015;3;9;segunda-feira;393
2015-03-10;2015;3;10;terça-feira;369
2015-03-24;2015;3;24;terça-feira;305
2015-03-25;2015;3;25;quarta-feira;301
2015-04-05;2015;4;5;domingo;229
2015-04-07;2015;4;7;terça-feira;314
2015-04-09;2015;4;9;quinta-feira;256
2015-04-12;2015;4;12;domingo;250
