ano,nordem,nuts2,dtcc_cod,ent_cod
2012,75,16,0115,OFICIAL PÚBLICO
2012,128,16,0103,OFICIAL PÚBLICO
2012,111,16,0602,OFICIAL PÚBLICO
2012,14,11,1312,OFICIAL PÚBLICO
2012,151,17,1115,OFICIAL PÚBLICO
2012,217,16,0603,OFICIAL PÚBLICO
2012,153,16,0603,OFICIAL PÚBLICO
2012,218,16,0603,OFICIAL PÚBLICO
2012,42,11,1312,OFICIAL PÚBLICO
2012,221,11,1308,OFICIAL PÚBLICO
2012,86,15,0810,OFICIAL PÚBLICO
2012,12,17,1106,OFICIAL PÚBLICO
2012,71,17,1106,OFICIAL PÚBLICO
2012,36,17,1106,OFICIAL PÚBLICO
2012,6,16,0602,OFICIAL PÚBLICO
2012,165,16,1113,OFICIAL PÚBLICO
2012,138,16,1113,OFICIAL PÚBLICO
2012,149,11,0302,OFICIAL PÚBLICO
2012,200,11,1308,OFICIAL PÚBLICO
2012,59,16,0603,OFICIAL PÚBLICO
2012,105,18,1416,OFICIAL PÚBLICO
2012,146,17,1503,OFICIAL PÚBLICO
2012,76,16,0605,OFICIAL PÚBLICO
2012,175,16,1419,OFICIAL PÚBLICO
2012,120,16,1401,OFICIAL PÚBLICO
2012,213,16,1418,OFICIAL PÚBLICO
2012,32,17,1106,OFICIAL PÚBLICO
2012,142,16,0503,OFICIAL PÚBLICO
2012,154,16,0504,OFICIAL PÚBLICO
2012,56,11,1312,OFICIAL PÚBLICO
2012,130,18,1509,OFICIAL PÚBLICO
2012,208,15,0811,OFICIAL PÚBLICO
2012,164,15,0811,OFICIAL PÚBLICO
2012,182,17,1512,OFICIAL PÚBLICO
2012,108,17,1512,OFICIAL PÚBLICO
2012,16,17,1106,OFICIAL PÚBLICO
2012,28,17,1106,OFICIAL PÚBLICO
2012,90,17,1110,OFICIAL PÚBLICO
2012,116,17,1106,OFICIAL PÚBLICO
2012,53,17,1106,OFICIAL PÚBLICO
2012,33,17,1106,OFICIAL PÚBLICO
2012,46,17,1106,OFICIAL PÚBLICO
2012,100,17,1106,OFICIAL PÚBLICO
2012,68,17,1106,OFICIAL PÚBLICO
2012,45,11,0308,OFICIAL PÚBLICO
2012,95,11,0307,OFICIAL PÚBLICO
2012,223,18,0705,OFICIAL PÚBLICO
2012,170,11,1314,OFICIAL PÚBLICO
2012,83,11,0312,OFICIAL PÚBLICO
2012,224,18,1214,OFICIAL PÚBLICO
2012,190,18,1207,OFICIAL PÚBLICO
2012,198,11,1714,OFICIAL PÚBLICO
2012,139,11,1708,OFICIAL PÚBLICO
2012,21,11,1805,OFICIAL PÚBLICO
2012,152,11,1703,OFICIAL PÚBLICO
2012,195,11,1317,OFICIAL PÚBLICO
2012,162,11,0107,OFICIAL PÚBLICO
2012,87,11,1317,OFICIAL PÚBLICO
2012,99,11,1311,OFICIAL PÚBLICO
2012,40,11,1301,OFICIAL PÚBLICO
2012,10,11,1312,OFICIAL PÚBLICO
2012,74,11,1312,OFICIAL PÚBLICO
2012,171,11,1312,OFICIAL PÚBLICO
2012,15,11,1312,OFICIAL PÚBLICO
2012,11,17,1106,OFICIAL PÚBLICO
2012,19,17,1105,OFICIAL PÚBLICO
2012,39,17,1106,OFICIAL PÚBLICO
2012,9,17,1106,OFICIAL PÚBLICO
2012,173,15,0805,OFICIAL PÚBLICO
2012,178,11,1313,OFICIAL PÚBLICO
2012,215,11,1316,OFICIAL PÚBLICO
2012,226,16,0907,OFICIAL PÚBLICO
2012,191,16,0912,OFICIAL PÚBLICO
