Período;ARS;ACES;Localização Geográfica;Sexo;Faixa Etária;Nº Utentes;ID
2019-07;Norte;ULS Nordeste;41.8069684,-6.7587977;Masculino;65 e +;57;2019-7/65 e +/Masculino/ULS Nordeste
2019-07;Norte;Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;Feminino;50-64;30;2019-7/50-64/Feminino/Trás-os-Montes - Alto Tâmega e Barroso
2019-07;Norte;Douro I - Marão e Douro Norte;41.2968711,-7.7483727;Masculino;65 e +;54;2019-7/65 e +/Masculino/Douro I - Marão e Douro Norte
2019-07;Norte;Douro I - Marão e Douro Norte;41.2968711,-7.7483727;Feminino;35-49;42;2019-7/35-49/Feminino/Douro I - Marão e Douro Norte
2019-07;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Masculino;<20;9;2019-7/<20/Masculino/Douro II - Douro Sul
2019-07;Norte;Douro II - Douro Sul;41.0953745,-7.8123805;Feminino;50-64;244;2019-7/50-64/Feminino/Douro II - Douro Sul
2019-07;Norte;Alto Ave - Guimarães/Vizela/Terras de Basto;41.4417064,-8.1722408;Masculino;50-64;9;2019-7/50-64/Masculino/Alto Ave - Guimarães/Vizela/Terras de Basto
2019-07;Norte;Alto Ave - Guimarães/Vizela/Terras de Basto;41.4417064,-8.1722408;Feminino;50-64;18;2019-7/50-64/Feminino/Alto Ave - Guimarães/Vizela/Terras de Basto
2019-07;Norte;Cávado II - Gerês/Cabreira;41.6298661,-8.3596897;Masculino;<20;1;2019-7/<20/Masculino/Cávado II - Gerês/Cabreira
2019-07;Norte;Cávado II - Gerês/Cabreira;41.6298661,-8.3596897;Masculino;35-49;9;2019-7/35-49/Masculino/Cávado II - Gerês/Cabreira
2019-07;Norte;Cávado II - Gerês/Cabreira;41.6298661,-8.3596897;Feminino;35-49;21;2019-7/35-49/Feminino/Cávado II - Gerês/Cabreira
2019-07;Norte;Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;Masculino;65 e +;132;2019-7/65 e +/Masculino/Tâmega I - Baixo Tâmega
